indicator,category,name,symbol,crash_type,precision,recall,f1,avg_lead_time,median_lead_time,false_alarm_rate,total_signals,true_positives,false_positives,detected_crashes,missed_crashes,total_crashes
M3,momentum,MACD Dead Cross,SUI,ALL,0.4166666666666667,0.5714285714285714,0.48192771084337344,10.3,11.5,0.5833333333333334,48,20,28,16,12,28
M3,momentum,MACD Dead Cross,SUI,A,0.3958333333333333,0.7,0.5057034220532319,9.578947368421053,9.0,0.6041666666666666,48,19,29,14,6,20
M3,momentum,MACD Dead Cross,SUI,B,0.3958333333333333,0.625,0.4846938775510204,10.157894736842104,12.0,0.6041666666666666,48,19,29,15,9,24
M3,momentum,MACD Dead Cross,SUI,C,0.14583333333333334,0.8571428571428571,0.24925816023738873,12.0,13.0,0.8541666666666666,48,7,41,6,1,7
M3,momentum,MACD Dead Cross,SUI,D,0.3125,0.7,0.4320987654320988,10.866666666666667,12.0,0.6875,48,15,33,14,6,20
M4,momentum,MACD Histogram Neg Flip,BTC,ALL,0.22033898305084745,0.5,0.3058823529411765,7.230769230769231,4.0,0.7796610169491526,59,13,46,10,10,20
M4,momentum,MACD Histogram Neg Flip,BTC,A,0.11864406779661017,0.7777777777777778,0.2058823529411765,5.142857142857143,5.0,0.8813559322033898,59,7,52,7,2,9
M4,momentum,MACD Histogram Neg Flip,BTC,B,0.1864406779661017,0.5333333333333333,0.27629513343799056,7.090909090909091,4.0,0.8135593220338984,59,11,48,8,7,15
M4,momentum,MACD Histogram Neg Flip,BTC,C,0.06779661016949153,0.5714285714285714,0.12121212121212119,8.25,7.0,0.9322033898305084,59,4,55,4,3,7
M4,momentum,MACD Histogram Neg Flip,BTC,D,0.11864406779661017,0.6666666666666666,0.2014388489208633,6.571428571428571,4.0,0.8813559322033898,59,7,52,6,3,9
M4,momentum,MACD Histogram Neg Flip,ETH,ALL,0.2542372881355932,0.41935483870967744,0.31655844155844154,8.866666666666667,9.0,0.7457627118644068,59,15,44,13,18,31
M4,momentum,MACD Histogram Neg Flip,ETH,A,0.288135593220339,0.7368421052631579,0.4142732811140122,6.882352941176471,5.0,0.711864406779661,59,17,42,14,5,19
M4,momentum,MACD Histogram Neg Flip,ETH,B,0.2033898305084746,0.36,0.259927797833935,7.75,8.5,0.7966101694915254,59,12,47,9,16,25
M4,momentum,MACD Histogram Neg Flip,ETH,C,0.13559322033898305,0.6363636363636364,0.22355289421157687,12.875,14.5,0.864406779661017,59,8,51,7,4,11
