symbol,cluster_id,cluster_start,cluster_end,n_event_days,types,peak_decline,has_A,has_B,has_C,has_D
SOL,SOL_14,2023-11-13,2023-11-21,4,B|C|D,-0.21060675531101947,False,True,True,True
SOL,SOL_15,2023-12-28,2024-02-04,7,B|C,-0.23811099164667926,False,True,True,False
SOL,SOL_16,2024-03-19,2024-03-19,1,D,-0.13321763985300117,False,False,False,True
SOL,SOL_17,2024-04-12,2024-04-30,6,A|B|C|D,-0.24346752284514694,True,True,True,True
SOL,SOL_18,2024-06-08,2024-07-04,5,B|C|D,-0.22040009878982458,False,True,True,True
SOL,SOL_19,2024-08-02,2024-08-11,3,A|B|C|D,-0.245393924425784,True,True,True,True
SOL,SOL_20,2024-08-29,2024-08-31,2,A|B,-0.15759009149187775,True,True,False,False
SOL,SOL_21,2024-10-02,2024-10-02,1,B,-0.11536034330430389,False,True,False,False
SOL,SOL_22,2024-11-04,2024-11-04,1,C,-0.21980735984193633,False,False,True,False
SOL,SOL_23,2024-12-09,2024-12-21,4,A|B|C|D,-0.2455819384974698,True,True,True,True
SOL,SOL_24,2025-01-07,2025-01-13,3,A|B|C,-0.21304009342156482,True,True,True,False
SOL,SOL_25,2025-01-28,2025-03-09,13,A|B|C|D,-0.46913683857160837,True,True,True,True
SOL,SOL_26,2025-04-03,2025-04-08,4,A|B|D,-0.16791663377279542,True,True,False,True
SOL,SOL_27,2025-05-30,2025-06-22,3,B,-0.20233769379844957,False,True,False,False
SOL,SOL_28,2025-08-01,2025-08-01,1,B,-0.10342737491734622,False,True,False,False
SOL,SOL_29,2025-08-25,2025-09-04,3,C|D,-0.22769782799557214,False,False,True,True
SOL,SOL_30,2025-09-23,2025-10-16,7,A|B|C|D,-0.28071916631675387,True,True,True,True
SOL,SOL_31,2025-11-03,2025-11-16,4,A|B|D,-0.1801446416831033,True,True,False,True
SOL,SOL_32,2026-01-20,2026-02-09,4,A|B|D,-0.3951675158252277,True,True,False,True
SOL,SOL_33,2026-03-28,2026-03-28,1,B,-0.10479825517993457,False,True,False,False
SOL,SOL_34,2026-06-02,2026-06-04,2,A|B|D,-0.16112531969309463,True,True,False,True
SUI,SUI_0,2023-05-08,2023-06-10,8,A|B|D,-0.4975682136674635,True,True,False,True
SUI,SUI_1,2023-06-28,2023-06-28,1,A|B,-0.20223772858517808,True,True,False,False
SUI,SUI_2,2023-08-16,2023-08-17,2,A|B|D,-0.21526515777300514,True,True,False,True
SUI,SUI_3,2023-09-01,2023-09-11,3,A|B,-0.1649940466065657,True,True,False,False
SUI,SUI_4,2023-10-02,2023-10-04,2,B|D,-0.12859960552268246,False,True,False,True
SUI,SUI_5,2023-10-29,2023-10-29,1,C,-0.6770119863013699,False,False,True,False
