rank,members,size,strategy,f1,precision,recall,false_alarm_rate,avg_lead_time,total_signals,detected_crashes,total_crashes
90,M5+VOL6+X5,3,OR,0.5536432788834394,0.38560157790927024,0.9812734082397003,0.6143984220907298,10.261232842953925,3042,262,267
91,M7+X5+V4,3,OR,0.5529493872309539,0.384928716904277,0.9812734082397003,0.615071283095723,9.814881604175035,2455,262,267
92,M7+VOL3+VOL4,3,OR,0.5528133249496596,0.396260017809439,0.9138576779026217,0.603739982190561,10.115067544379373,2246,244,267
93,M7+V7+V4,3,OR,0.5527728541635578,0.38711091626479616,0.9662921348314607,0.6128890837352039,10.104256719156387,2281,258,267
94,M7+X5+VOL4,3,OR,0.5527034917669041,0.38526912181303113,0.9775280898876404,0.6147308781869688,9.868943883471864,2471,261,267
95,VOL6+M6+V4,3,OR,0.5515243894706675,0.3835489833641405,0.9812734082397003,0.6164510166358595,10.22239558084912,2164,262,267
96,M7+V7,2,OR,0.5513608679101637,0.38879456706281834,0.947565543071161,0.6112054329371817,10.287820319260561,1767,253,267
97,M7+X5+VOL3,3,OR,0.5506483901602696,0.38385376999238385,0.9737827715355806,0.6161462300076161,10.220962125886947,2626,260,267
98,M8+VOL3+M6,3,OR,0.5505445388073699,0.3879832324173265,0.947565543071161,0.6120167675826735,10.257490382389205,2147,253,267
99,M5+V7+X5,3,OR,0.5497892304297841,0.38075017692852087,0.9887640449438202,0.6192498230714791,10.160648479869707,2826,264,267
100,M7+V7+VOL3,3,OR,0.5483755160653384,0.3816483962647178,0.9737827715355806,0.6183516037352822,10.497920236838759,2463,260,267
101,M6+V4+VOL4,3,OR,0.5470169475798623,0.39384979302188056,0.8951310861423221,0.6061502069781195,9.812449403771446,1691,239,267
102,VOL3+M6+V4,3,OR,0.546513819145213,0.3918992884510126,0.9026217228464419,0.6081007115489874,10.307033413517253,1827,241,267
103,VOL6+VOL3+M6,3,OR,0.5464329315269827,0.3803418803418803,0.9700374531835206,0.6196581196581197,10.63989588379712,2340,259,267
