strategy_id,base_id,module,base_oos_return,cand_oos_return,delta_oos_return,base_oos_sharpe,cand_oos_sharpe,base_oos_pf,cand_oos_pf,base_oos_trades,cand_oos_trades,is_return_base,is_return_cand,is_gate_pass,verdict
S7.04_S_trail+FC3,S7.04_S_trail,C,14.755192695334111,35.83621042786166,21.08101773252755,1.8261349195710923,2.1151875017365813,1.5742762594228232,2.3219585715162956,180,175,24.372917561634278,17.78484907538296,False,adopt
S7.04_S_trail+F1,S7.04_S_trail,F,14.755192695334111,30.694354990229368,15.939162294895256,1.8261349195710923,0.6114206114943092,1.5742762594228232,1.5337336189913666,180,180,24.372917561634278,14.487477059116298,False,hold
S7.04_S_trail+F3,S7.04_S_trail,F,14.755192695334111,24.333464556768934,9.578271861434823,1.8261349195710923,1.3629307912488362,1.5742762594228232,1.7779846960139574,180,180,24.372917561634278,18.81416161497539,False,adopt
S7.04_S_trail+D1,S7.04_S_trail,D,14.755192695334111,22.299245139304748,7.544052443970637,1.8261349195710923,2.4575650026563762,1.5742762594228232,1.7497256180492233,180,161,24.372917561634278,12.639530590034116,False,adopt
S7.04_S_trail+D2,S7.04_S_trail,D,14.755192695334111,16.20146822005057,1.4462755247164605,1.8261349195710923,1.8261349195710923,1.5742762594228232,1.5742762594228232,180,180,24.372917561634278,25.40487770186045,True,hold
S7.04_S_trail+B2,S7.04_S_trail,B,14.755192695334111,14.964603226693978,0.20941053135986643,1.8261349195710923,1.8580977432682397,1.5742762594228232,1.5828677093976848,180,180,24.372917561634278,24.372917561634278,False,adopt
S7.04_S_trail+B3,S7.04_S_trail,B,14.755192695334111,14.870059424214187,0.11486672888007554,1.8261349195710923,1.843679069813212,1.5742762594228232,1.5789888770191811,180,180,24.372917561634278,24.372917561634278,False,adopt
S7.04_S_trail+B1,S7.04_S_trail,B,14.755192695334111,14.755192695334111,0.0,1.8261349195710923,1.8261349195710923,1.5742762594228232,1.5742762594228232,180,180,24.372917561634278,24.372917561634278,False,reject
S7.04_S_trail+A4,S7.04_S_trail,A,14.755192695334111,10.824850239306123,-3.9303424560279883,1.8261349195710923,1.77139834120025,1.5742762594228232,1.4133268765006104,180,180,24.372917561634278,24.372917561634278,False,reject
S7.04_S_trail+A3,S7.04_S_trail,A,14.755192695334111,10.094236029641651,-4.66095666569246,1.8261349195710923,1.6965374130014585,1.5742762594228232,1.383389705540247,180,180,24.372917561634278,24.372917561634278,False,reject
S7.04_S_trail+A1+B2,S7.04_S_trail,combo,14.755192695334111,9.738809756110582,-5.016382939223529,1.8261349195710923,1.6625873598293015,1.5742762594228232,1.3688206228675788,180,180,24.372917561634278,24.999942378608537,True,reject
S7.04_S_trail+A1,S7.04_S_trail,A,14.755192695334111,9.548813983963914,-5.206378711370197,1.8261349195710923,1.6190750709577286,1.5742762594228232,1.3610256988910563,180,180,24.372917561634278,24.999942378608537,True,reject
S7.04_S_trail+FC1,S7.04_S_trail,C,14.755192695334111,8.969138218297891,-5.78605447703622,1.8261349195710923,1.7974169177517787,1.5742762594228232,1.370484007316011,180,151,24.372917561634278,22.52395082504683,False,reject
S7.04_S_trail+FC5,S7.04_S_trail,C,14.755192695334111,8.837379491800831,-5.91781320353328,1.8261349195710923,3.191823218920048,1.5742762594228232,1.7563116972415282,180,21,24.372917561634278,20.547866536174705,False,reject
S7.04_S_trail+A1+FC4+D1,S7.04_S_trail,combo,14.755192695334111,8.611101751418323,-6.1440909439157885,1.8261349195710923,2.1978943868389,1.5742762594228232,1.4493769496275741,180,93,24.372917561634278,8.525840863644834,False,reject
S7.04_S_trail+A2,S7.04_S_trail,A,14.755192695334111,8.400410776341998,-6.3547819189921135,1.8261349195710923,1.36911261563774,1.5742762594228232,1.3196348449682087,180,180,24.372917561634278,23.11938931075032,False,reject
S7.04_S_trail+F3+FC4,S7.04_S_trail,combo,14.755192695334111,4.960764580762592,-9.79442811457152,1.8261349195710923,-0.10558746575396248,1.5742762594228232,1.651315669393889,180,109,24.372917561634278,17.568788603847356,False,reject
S7.04_S_trail+FC4,S7.04_S_trail,C,14.755192695334111,4.4606684560627805,-10.29452423927133,1.8261349195710923,1.053906582640747,1.5742762594228232,1.2444277067070264,180,109,24.372917561634278,25.59921648067077,True,reject
